Year,China,United States,India,European Union,Japan,Rest of the world
2005,4.940918,16.959718,1.106863,17.16342919,4.249767,15.4046948
2006,6.259026,16.526294,1.311373,17.47347332,4.005003,16.54175821
2007,7.589375,16.104484,1.388084,17.77773564,3.718892,18.78118667
2008,8.151446,13.203105,1.408721,16.37074097,3.493202,19.48725728
2009,12.458877,10.408939,1.677511,15.30654692,3.225547,17.32251186
2010,16.497832,11.55914,2.211501,14.6986829,3.556993,20.58322806
2011,16.998333,12.734443,2.375224,14.64912245,2.953526,22.50212054
2012,17.762557,14.494295,3.281637,13.37366131,2.060791,23.66357759
2013,20.270478,15.600521,3.023584,13.17762511,2.058111,23.65041496
2014,21.792541,16.523862,2.961312,14.01239394,2.124088,23.32949
2015,23.125912,17.475105,3.14335,15.38773249,3.349217,22.125467
2016,26.365437,17.569842,3.370638,16.46090873,3.436544,21.916372
2017,26.96032,17.240553,3.697553,16.8035873,3.598821,22.906327
2018,26.703971,17.334785,4.004355,16.92452003,3.582393,22.68287582
2019,24.534193,17.048955,3.528204,17.194755,3.520034,21.066188
